Time,Rate,Lower,Upper
2020-05-09,0.3,0.13,0.59
2020-05-23,0.32,0.16,0.58
2020-06-06,0.03,0,0.13
2020-06-20,0.02,0,0.12
2020-07-04,0.09,0.03,0.22
2020-07-18,0.1,0.03,0.24
2020-08-01,0.03,0,0.13
2020-08-15,0.06,0.02,0.14
2020-08-29,0.09,0.04,0.17
2020-09-12,0.19,0.12,0.28
2020-09-26,0.41,0.34,0.51
2020-10-10,0.75,0.66,0.86
2020-10-14,1.04,0.93,1.17
2020-11-07,1.35,1.21,1.49
2020-11-21,1.2,1.08,1.34
2020-12-05,1.22,1.09,1.36
2020-12-19,1.63,1.48,1.8
2021-01-02,2.32,2.15,2.5
2021-01-16,2.4,2.22,2.6
2021-01-30,1.82,1.66,1.99
2021-02-13,1.05,0.94,1.18
2021-02-27,0.52,0.44,0.62
2021-03-13,0.38,0.31,0.47
2021-03-27,0.34,0.27,0.42
2021-04-10,0.21,0.15,0.28
2021-04-14,0.1,0.07,0.15
2021-05-08,0.07,0.04,0.1
2021-05-22,0.13,0.09,0.18
2021-06-05,0.14,0.1,0.2
2021-06-19,0.21,0.16,0.29
2021-07-03,0.59,0.49,0.7
